frequency,wind_speed,distance,wind_direction,flow_resistivity,Nord2000 (delhom),Acventum (delhom),BE2 (Iso9613),Iso9613 (windPro),Nord2000 (windPro)
160,5,500,180,12.5,0.3,1.23,-3.408,-3.28,-1.76
200,5,500,180,12.5,0.2,0.58,-6.489,-6.65,-0.96
250,5,500,180,12.5,0.2,-0.2,-6.629,-6.65,0.14
315,5,500,180,12.5,0.1,-1.08,-6.848,-6.65,1.14
400,5,500,180,12.5,0,-2.08,-3.251,-3.46,2.04
500,5,500,180,12.5,-0.1,-3.09,-3.427,-3.46,2.44
630,5,500,180,12.5,-0.1,-4.26,-3.759,-3.46,1.74
800,5,500,180,12.5,-0.3,-5.76,-1.936,-2.29,-0.36
1000,5,500,180,12.5,-0.5,-7.65,-2.36,-2.29,-1.76
1250,5,500,180,12.5,-0.7,-10.41,-2.851,-2.29,-2.06
1600,5,500,180,12.5,-1.1,-15.12,-3.641,-4.99,-2.96
2000,5,500,180,12.5,-1.8,-21.79,-5.06,-4.99,-4.36
2500,5,500,180,12.5,-2.7,-32.11,-7.131,-4.99,-6.56
3150,5,500,180,12.5,-3.9,-48.85,-10.559,-15.87,-9.96
4000,5,500,180,12.5,-5.8,-76.19,-15.93,-15.87,-15.16
5000,5,500,180,12.5,-9.2,-116.1,-24.309,-15.87,-23.06
6300,5,500,180,12.5,-14.3,-179.72,-37.139,-56.69,-34.76
8000,5,500,180,12.5,-22.4,-281.17,-56.849,-56.69,-51.26
10000,5,500,180,12.5,-34.9,-423.16,-86.368,-56.69,-73.16
50,7,500,0,12.5,0.8,3.32,2.972,2.91,1.24
63,7,500,0,12.5,-2.8,3.3,2.837,2.91,-0.96
80,7,500,0,12.5,0.4,3.27,2.847,2.91,-4.76
100,7,500,0,12.5,0.3,0.24,-3.215,-3.28,-4.16
125,7,500,0,12.5,0.3,0.18,-3.26,-3.28,-1.76
160,7,500,0,12.5,0.3,0.1,-3.408,-3.28,-0.86
200,7,500,0,12.5,0.2,0,-6.489,-6.65,1.54
250,7,500,0,12.5,0.2,-0.12,-6.629,-6.65,2.74
315,7,500,0,12.5,0.1,-0.26,-6.848,-6.65,3.04
400,7,500,0,12.5,0,-0.42,-3.251,-3.46,1.64
500,7,500,0,12.5,-0.1,-0.57,-3.427,-3.46,-2.16
630,7,500,0,12.5,-0.2,-0.75,-3.759,-3.46,-2.76
800,7,500,0,12.5,-0.3,-0.99,-1.936,-2.29,0.14
1000,7,500,0,12.5,-0.5,-1.28,-2.36,-2.29,-1.56
1250,7,500,0,12.5,-0.7,-1.71,-2.851,-2.29,-2.06
1600,7,500,0,12.5,-1.1,-2.44,-3.641,-4.99,-2.96
2000,7,500,0,12.5,-1.7,-3.47,-5.06,-4.99,-4.36
2500,7,500,0,12.5,-2.7,-5.07,-7.131,-4.99,-6.56
3150,7,500,0,12.5,-3.7,-7.66,-10.559,-15.87,-9.96
4000,7,500,0,12.5,-5.5,-11.9,-15.93,-15.87,-15.16
5000,7,500,0,12.5,-8.9,-18.09,-24.309,-15.87,-23.06
6300,7,500,0,12.5,-13.9,-27.95,-37.139,-56.69,-34.76
8000,7,500,0,12.5,-21.8,-43.67,-56.849,-56.69,-51.26
10000,7,500,0,12.5,-34.2,-65.68,-86.368,-56.69,-73.16
50,7,500,90,12.5,0.8,3.3,2.972,2.91,-0.56
63,7,500,90,12.5,-2.8,3.3,2.837,2.91,-1.16
80,7,500,90,12.5,0.4,3.29,2.847,2.91,-2.76
100,7,500,90,12.5,0.3,0.28,-3.215,-3.28,-4.86
125,7,500,90,12.5,0.3,0.27,-3.26,-3.28,-4.06
160,7,500,90,12.5,0.3,0.25,-3.408,-3.28,-1.66
200,7,500,90,12.5,0.2,0.23,-6.489,-6.65,-0.26
250,7,500,90,12.5,0.2,0.2,-6.629,-6.65,1.54
315,7,500,90,12.5,0.1,0.17,-6.848,-6.65,2.64
400,7,500,90,12.5,0,0.14,-3.251,-3.46,3.04
500,7,500,90,12.5,-0.1,0.1,-3.427,-3.46,2.34
630,7,500,90,12.5,-0.2,0.06,-3.759,-3.46,-0.16
800,7,500,90,12.5,-0.3,0.01,-1.936,-2.29,-2.86
1000,7,500,90,12.5,-0.5,-0.06,-2.36,-2.29,-1.56
1250,7,500,90,12.5,-0.7,-0.16,-2.851,-2.29,-2.06
1600,7,500,90,12.5,-1.1,-0.32,-3.641,-4.99,-2.96
2000,7,500,90,12.5,-1.7,-0.56,-5.06,-4.99,-4.36
