frequency,wind_speed,distance,wind_direction,flow_resistivity,Nord2000 (delhom),Acventum (delhom),BE2 (Iso9613),Iso9613 (windPro),Nord2000 (windPro),geometric_div
1000,5,500,180,12.5,-0.4,-7.65,-2.36,-2.29,-1.76,-65.05104356
1250,5,500,180,12.5,-0.6,-10.41,-2.851,-2.29,-2.06,-65.05104356
1600,5,500,180,12.5,-1,-15.12,-3.641,-4.99,-2.96,-65.05104356
2000,5,500,180,12.5,-1.6,-21.79,-5.06,-4.99,-4.36,-65.05104356
2500,5,500,180,12.5,-2.5,-32.11,-7.131,-4.99,-6.56,-65.05104356
3150,5,500,180,12.5,-3.9,-48.85,-10.559,-15.87,-9.96,-65.05104356
4000,5,500,180,12.5,-6.1,-76.19,-15.93,-15.87,-15.16,-65.05104356
5000,5,500,180,12.5,-9.7,-116.1,-24.309,-15.87,-23.06,-65.05104356
6300,5,500,180,12.5,-14.8,-179.72,-37.139,-56.69,-34.76,-65.05104356
8000,5,500,180,12.5,-22.7,-281.17,-56.849,-56.69,-51.26,-65.05104356
10000,5,500,180,12.5,-34.7,-423.16,-86.368,-56.69,-73.16,-65.05104356
50,7,500,0,12.5,0.8,3.32,2.972,2.91,1.24,-65.05104356
63,7,500,0,12.5,1.3,3.3,2.837,2.91,-0.96,-65.05104356
80,7,500,0,12.5,0.3,3.27,2.847,2.91,-4.76,-65.05104356
100,7,500,0,12.5,0.3,0.24,-3.215,-3.28,-4.16,-65.05104356
125,7,500,0,12.5,0.3,0.18,-3.26,-3.28,-1.76,-65.05104356
160,7,500,0,12.5,0.2,0.1,-3.408,-3.28,-0.86,-65.05104356
200,7,500,0,12.5,0.2,0,-6.489,-6.65,1.54,-65.05104356
250,7,500,0,12.5,0.1,-0.12,-6.629,-6.65,2.74,-65.05104356
315,7,500,0,12.5,0.1,-0.26,-6.848,-6.65,3.04,-65.05104356
400,7,500,0,12.5,0,-0.42,-3.251,-3.46,1.64,-65.05104356
500,7,500,0,12.5,0,-0.57,-3.427,-3.46,-2.16,-65.05104356
630,7,500,0,12.5,-0.1,-0.75,-3.759,-3.46,-2.76,-65.05104356
800,7,500,0,12.5,-0.2,-0.99,-1.936,-2.29,0.14,-65.05104356
1000,7,500,0,12.5,-0.4,-1.28,-2.36,-2.29,-1.56,-65.05104356
1250,7,500,0,12.5,-0.6,-1.71,-2.851,-2.29,-2.06,-65.05104356
1600,7,500,0,12.5,-1,-2.44,-3.641,-4.99,-2.96,-65.05104356
2000,7,500,0,12.5,-1.6,-3.47,-5.06,-4.99,-4.36,-65.05104356
2500,7,500,0,12.5,-2.4,-5.07,-7.131,-4.99,-6.56,-65.05104356
3150,7,500,0,12.5,-3.8,-7.66,-10.559,-15.87,-9.96,-65.05104356
4000,7,500,0,12.5,-6,-11.9,-15.93,-15.87,-15.16,-65.05104356
5000,7,500,0,12.5,-9.5,-18.09,-24.309,-15.87,-23.06,-65.05104356
6300,7,500,0,12.5,-14.5,-27.95,-37.139,-56.69,-34.76,-65.05104356
8000,7,500,0,12.5,-22.2,-43.67,-56.849,-56.69,-51.26,-65.05104356
10000,7,500,0,12.5,-34.1,-65.68,-86.368,-56.69,-73.16,-65.05104356
50,7,500,90,12.5,0.8,3.3,2.972,2.91,-0.56,-65.05104356
63,7,500,90,12.5,1.8,3.3,2.837,2.91,-1.16,-65.05104356
80,7,500,90,12.5,0.3,3.29,2.847,2.91,-2.76,-65.05104356
100,7,500,90,12.5,0.3,0.28,-3.215,-3.28,-4.86,-65.05104356
125,7,500,90,12.5,0.3,0.27,-3.26,-3.28,-4.06,-65.05104356
160,7,500,90,12.5,0.2,0.25,-3.408,-3.28,-1.66,-65.05104356
200,7,500,90,12.5,0.2,0.23,-6.489,-6.65,-0.26,-65.05104356
250,7,500,90,12.5,0.1,0.2,-6.629,-6.65,1.54,-65.05104356
315,7,500,90,12.5,0.1,0.17,-6.848,-6.65,2.64,-65.05104356
400,7,500,90,12.5,0,0.14,-3.251,-3.46,3.04,-65.05104356
500,7,500,90,12.5,0,0.1,-3.427,-3.46,2.34,-65.05104356
630,7,500,90,12.5,-0.1,0.06,-3.759,-3.46,-0.16,-65.05104356
800,7,500,90,12.5,-0.2,0.01,-1.936,-2.29,-2.86,-65.05104356
1000,7,500,90,12.5,-0.4,-0.06,-2.36,-2.29,-1.56,-65.05104356
1250,7,500,90,12.5,-0.6,-0.16,-2.851,-2.29,-2.06,-65.05104356
1600,7,500,90,12.5,-1,-0.32,-3.641,-4.99,-2.96,-65.05104356
2000,7,500,90,12.5,-1.6,-0.56,-5.06,-4.99,-4.36,-65.05104356
2500,7,500,90,12.5,-2.4,-0.92,-7.131,-4.99,-6.56,-65.05104356
3150,7,500,90,12.5,-3.8,-1.51,-10.559,-15.87,-9.96,-65.05104356
4000,7,500,90,12.5,-6,-2.47,-15.93,-15.87,-15.16,-65.05104356
5000,7,500,90,12.5,-9.5,-3.88,-24.309,-15.87,-23.06,-65.05104356
6300,7,500,90,12.5,-14.5,-6.12,-37.139,-56.69,-34.76,-65.05104356
8000,7,500,90,12.5,-22.2,-9.7,-56.849,-56.69,-51.26,-65.05104356
10000,7,500,90,12.5,-34.1,-14.7,-86.368,-56.69,-73.16,-65.05104356
50,7,500,180,12.5,0.8,5.62,2.972,2.91,-1.76,-65.05104356
63,7,500,180,12.5,1.8,5.5,2.837,2.91,-1.26,-65.05104356
80,7,500,180,12.5,0.3,5.29,2.847,2.91,-0.66,-65.05104356
100,7,500,180,12.5,0.3,2.02,-3.215,-3.28,-1.36,-65.05104356
125,7,500,180,12.5,0.3,1.61,-3.26,-3.28,-2.66,-65.05104356
160,7,500,180,12.5,0.2,0.98,-3.408,-3.28,-1.96,-65.05104356
200,7,500,180,12.5,0.2,0.24,-6.489,-6.65,-1.06,-65.05104356
250,7,500,180,12.5,0.1,-0.65,-6.629,-6.65,-0.36,-65.05104356
315,7,500,180,12.5,0.1,-1.66,-6.848,-6.65,0.34,-65.05104356
400,7,500,180,12.5,0,-2.82,-3.251,-3.46,0.94,-65.05104356
500,7,500,180,12.5,0,-3.97,-3.427,-3.46,1.34,-65.05104356
630,7,500,180,12.5,-0.1,-5.31,-3.759,-3.46,1.14,-65.05104356
800,7,500,180,12.5,-0.2,-7.03,-1.936,-2.29,0.14,-65.05104356
1000,7,500,180,12.5,-0.4,-9.2,-2.36,-2.29,-1.56,-65.05104356
